policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,1,900,3,0.75,0.05,50.0,100.0,3.2177777777777776,2.6266666666666665,0.37444444444444447,50.37444444444444,16.0,0.5672513227513227,0.7923042328042328,0.09929100529100529,0.6930132275132275,0.5842791005291005
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,1,900,3,1.0,0.05,50.0,100.0,3.1966666666666668,3.21,0.3888888888888889,50.388888888888886,16.0,0.5709126984126984,1.0001256613756613,0.11253703703703703,0.8875886243386243,0.5864378306878307
Coverage-Aware B=3 sm=4.1,0.98,2,900,3,0.0,0.05,50.0,100.0,3.5233333333333334,0.7988888888888889,0.4777777777777778,50.477777777777774,16.0,0.6013139329805997,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,2,900,3,0.75,0.05,50.0,100.0,3.3755555555555556,2.787777777777778,0.37222222222222223,50.37222222222222,16.0,0.5881587301587302,0.7849731040564374,0.10113977072310405,0.6838333333333334,0.5842720458553792
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,2,900,3,1.0,0.05,50.0,100.0,3.3466666666666667,3.3655555555555554,0.3844444444444444,50.38444444444445,16.0,0.5895471781305115,0.989097442680776,0.11415828924162257,0.8749391534391534,0.5856014109347443
Coverage-Aware B=3 sm=4.1,0.98,3,900,3,0.0,0.05,49.99444444444445,99.44444444444444,3.6466666666666665,0.9044444444444445,0.5077777777777778,50.50222222222222,16.0,0.6076067019400352,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,3,900,3,0.75,0.05,49.99888888888889,99.8888888888889,3.4455555555555555,2.8644444444444446,0.3655555555555556,50.364444444444445,16.0,0.5930418871252204,0.781918430335097,0.10182760141093473,0.6800908289241622,0.5835573192239859
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,3,900,3,1.0,0.05,49.99888888888889,99.8888888888889,3.411111111111111,3.43,0.37333333333333335,50.37222222222222,16.0,0.592918430335097,0.9858624338624338,0.11553395061728394,0.8703284832451499,0.5858086419753086
Coverage-Aware B=3 sm=4.1,0.7,1,900,3,0.0,0.1,50.0,100.0,3.4955555555555557,1.48,1.0977777777777777,51.09777777777778,16.0,0.9577142857142857,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,1,900,3,0.75,0.1,50.0,100.0,3.2755555555555556,4.118888888888889,0.7877777777777778,50.78777777777778,16.0,0.9032037037037037,1.2053359788359788,0.16705423280423282,1.038281746031746,0.6391203703703704
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,1,900,3,1.0,0.1,50.0,100.0,3.2533333333333334,5.094444444444444,0.7811111111111111,50.78111111111111,16.0,0.9013597883597884,1.6038042328042328,0.19971693121693124,1.4040873015873014,0.6481600529100529
Coverage-Aware B=3 sm=4.1,0.7,2,900,3,0.0,0.1,50.0,100.0,3.747777777777778,1.6177777777777778,1.3177777777777777,51.31777777777778,16.0,0.9885467372134039,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,2,900,3,0.75,0.1,50.0,100.0,3.3344444444444443,4.176666666666667,0.8155555555555556,50.815555555555555,16.0,0.9052777777777777,1.207537918871252,0.16362037037037036,1.0439175485008818,0.6484783950617284
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,2,900,3,1.0,0.1,50.0,100.0,3.2666666666666666,5.121111111111111,0.7811111111111111,50.78111111111111,16.0,0.9086124338624338,1.6021269841269843,0.19830555555555554,1.4038214285714286,0.6545132275132275
Coverage-Aware B=3 sm=4.1,0.7,3,900,3,0.0,0.1,50.0,100.0,3.8366666666666664,1.6288888888888888,1.4033333333333333,51.403333333333336,16.0,0.9882870370370371,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,3,900,3,0.75,0.1,50.0,100.0,3.3533333333333335,4.2011111111111115,0.8188888888888889,50.818888888888885,16.0,0.9065542328042328,1.2123108465608465,0.16380291005291003,1.0485079365079364,0.6527010582010582
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,3,900,3,1.0,0.1,50.0,100.0,3.298888888888889,5.155555555555556,0.7844444444444445,50.784444444444446,16.0,0.9077949735449735,1.6010780423280424,0.19739550264550265,1.4036825396825396,0.6555238095238095
Coverage-Aware B=3 sm=4.1,0.9,1,900,3,0.0,0.1,50.0,100.0,3.5433333333333334,1.3433333333333333,0.8355555555555556,50.83555555555556,16.0,0.8812962962962962,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,1,900,3,0.75,0.1,50.0,100.0,3.418888888888889,4.306666666666667,0.7011111111111111,50.70111111111111,16.0,0.8683253968253968,1.1615925925925927,0.17162830687830688,0.9899642857142857,0.6309325396825396
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,1,900,3,1.0,0.1,50.0,100.0,3.4133333333333336,5.33,0.7366666666666667,50.736666666666665,16.0,0.8786693121693122,1.5216997354497355,0.2076388888888889,1.3140608465608465,0.637707671957672
Coverage-Aware B=3 sm=4.1,0.9,2,900,3,0.0,0.1,49.99888888888889,99.8888888888889,3.8666666666666667,1.6611111111111112,0.99,50.98888888888889,16.0,0.9148170194003528,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,2,900,3,0.75,0.1,49.99888888888889,99.8888888888889,3.658888888888889,4.565555555555555,0.7311111111111112,50.73,16.0,0.8856424162257496,1.1331609347442682,0.17331393298059963,0.9598470017636683,0.632839065255732
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,2,900,3,1.0,0.1,49.99888888888889,99.8888888888889,3.6277777777777778,5.564444444444445,0.7444444444444445,50.74333333333333,16.0,0.8939338624338624,1.4796679894179894,0.20657142857142857,1.2730965608465608,0.6368650793650794
Coverage-Aware B=3 sm=4.1,0.9,3,900,3,0.0,0.1,50.0,100.0,3.968888888888889,1.718888888888889,1.0444444444444445,51.044444444444444,16.0,0.9175996472663138,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,3,900,3,0.75,0.1,49.99777777777778,99.77777777777777,3.7,4.597777777777778,0.7288888888888889,50.72666666666667,16.0,0.8864135802469136,1.136392857142857,0.17289285714285715,0.9635,0.6370335097001764
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,3,900,3,1.0,0.1,49.99888888888889,99.8888888888889,3.6533333333333333,5.59,0.7422222222222222,50.74111111111111,16.0,0.8954753086419753,1.4854889770723103,0.20577028218694884,1.2797186948853616,0.640260582010582
Coverage-Aware B=3 sm=4.1,0.98,1,900,3,0.0,0.1,49.99888888888889,99.8888888888889,3.3244444444444445,0.6755555555555556,0.41555555555555557,50.41444444444444,16.0,0.6848373015873016,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,1,900,3,0.75,0.1,50.0,100.0,3.283333333333333,3.968888888888889,0.5866666666666667,50.586666666666666,16.0,0.7286216931216931,1.185846560846561,0.16241269841269843,1.0234338624338626,0.6444867724867726
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,1,900,3,1.0,0.1,50.0,100.0,3.287777777777778,5.073333333333333,0.6866666666666666,50.68666666666667,16.0,0.758058201058201,1.5502336860670194,0.1978800705467372,1.3523536155202822,0.649968253968254
