policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Coverage-Aware B=3 sm=4.1,0.9,2,900,3,0.0,0.0,-1.0,0.02,50.0,100.0,4.138888888888889,7.528888888888889,6.454444444444444,56.45444444444445,16.0,2.493908289241623,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,2,900,3,0.75,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,3.7955555555555556,7.2,5.948888888888889,55.94777777777778,16.0,2.532149470899471,0.4975176366843033,0.37937610229276897,0.1181415343915344,0.6035110229276895
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.9,2,900,3,0.75,0.0,2.0,0.02,49.99888888888889,99.8888888888889,3.811111111111111,7.237777777777778,5.938888888888889,55.937777777777775,16.0,2.534335978835979,0.4524792768959435,0.33554805996472664,0.11693121693121693,0.5998059964726632
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,2,900,3,1.0,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,3.767777777777778,7.164444444444444,5.924444444444444,55.92333333333333,16.0,2.539508818342152,0.6181560846560847,0.4739638447971781,0.14419223985890653,0.6082129629629629
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.9,2,900,3,1.0,0.0,2.0,0.02,49.99888888888889,99.8888888888889,3.7888888888888888,7.2122222222222225,5.917777777777777,55.916666666666664,16.0,2.544397266313933,0.5012504409171076,0.3696556437389771,0.13159479717813052,0.6030837742504409
Coverage-Aware B=3 sm=4.1,0.9,3,900,3,0.0,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,4.203333333333333,8.485555555555555,6.567777777777778,56.56666666666667,16.0,2.5921710758377428,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,3,900,3,0.75,0.0,-1.0,0.02,49.99777777777778,99.77777777777777,3.908888888888889,7.941111111111111,6.4622222222222225,56.46,16.0,2.705547619047619,0.4471159611992945,0.44238447971781303,0.00473148148148148,0.5970917107583774
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.9,3,900,3,0.75,0.0,2.0,0.02,49.99777777777778,99.77777777777777,3.9355555555555557,8.015555555555556,6.398888888888889,56.39666666666667,16.0,2.686153439153439,0.41002204585537916,0.3817993827160494,0.028222663139329807,0.5984157848324514
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,3,900,3,1.0,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,3.9166666666666665,7.888888888888889,6.511111111111111,56.51,16.0,2.7051384479717813,0.5548646384479718,0.543207671957672,0.011656966490299823,0.6038514109347443
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.9,3,900,3,1.0,0.0,2.0,0.02,49.99888888888889,99.8888888888889,3.928888888888889,7.992222222222222,6.378888888888889,56.37777777777778,16.0,2.6849783950617283,0.45012654320987655,0.4120992063492064,0.0380273368606702,0.597858024691358
Coverage-Aware B=3 sm=4.1,0.98,1,900,3,0.0,0.0,-1.0,0.02,50.0,100.0,3.3644444444444446,2.3533333333333335,2.433333333333333,52.43333333333333,16.0,1.166135361552028,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,1,900,3,0.75,0.0,-1.0,0.02,50.0,100.0,3.227777777777778,2.6855555555555557,1.8444444444444446,51.84444444444444,16.0,1.0100330687830688,0.5179748677248677,0.1943584656084656,0.3236164021164021,0.5305608465608466
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.98,1,900,3,0.75,0.0,2.0,0.02,50.0,100.0,3.2333333333333334,2.667777777777778,1.8844444444444444,51.88444444444445,16.0,1.0250621693121693,0.4875383597883598,0.1881732804232804,0.2993650793650794,0.5301349206349206
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,1,900,3,1.0,0.0,-1.0,0.02,50.0,100.0,3.1966666666666668,2.8033333333333332,1.7555555555555555,51.75555555555555,16.0,0.9814484126984128,0.6327420634920635,0.22328174603174603,0.40946031746031747,0.531531746031746
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.98,1,900,3,1.0,0.0,2.0,0.02,50.0,100.0,3.2266666666666666,2.7333333333333334,1.8511111111111112,51.85111111111111,16.0,1.0164140211640211,0.5389378306878306,0.2018399470899471,0.33709788359788356,0.5320238095238095
Coverage-Aware B=3 sm=4.1,0.98,2,900,3,0.0,0.0,-1.0,0.02,49.99777777777778,99.77777777777777,3.736666666666667,3.721111111111111,3.51,53.507777777777775,16.0,1.5139757495590829,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,2,900,3,0.75,0.0,-1.0,0.02,50.0,100.0,3.486666666666667,3.848888888888889,2.951111111111111,52.95111111111111,16.0,1.4078276014109348,0.5054038800705467,0.24100749559082893,0.2643963844797178,0.5583055555555555
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.98,2,900,3,0.75,0.0,2.0,0.02,50.0,100.0,3.4988888888888887,3.8577777777777778,2.98,52.98,16.0,1.417884479717813,0.4764104938271605,0.2307469135802469,0.2456635802469136,0.5560965608465608
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,2,900,3,1.0,0.0,-1.0,0.02,50.0,100.0,3.462222222222222,3.8844444444444446,2.8255555555555554,52.82555555555555,16.0,1.3634228395061727,0.6122411816578484,0.28114770723104054,0.33109347442680775,0.560515873015873
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.98,2,900,3,1.0,0.0,2.0,0.02,50.0,100.0,3.4966666666666666,3.8844444444444446,2.918888888888889,52.91888888888889,16.0,1.400905643738977,0.5190268959435627,0.24658289241622575,0.27244400352733683,0.5576626984126983
Coverage-Aware B=3 sm=4.1,0.98,3,900,3,0.0,0.0,-1.0,0.02,49.995555555555555,99.55555555555556,4.004444444444444,4.7444444444444445,4.173333333333333,54.16888888888889,16.0,1.7224413580246916,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,3,900,3,0.75,0.0,-1.0,0.02,49.995555555555555,99.55555555555556,3.6933333333333334,4.717777777777778,3.6155555555555554,53.611111111111114,16.0,1.6585119047619048,0.5026159611992945,0.2776812169312169,0.2249347442680776,0.5688077601410935
