decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=2 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,50.0,0.0,1.0,100.0,4.525,0.24499999999999997,0.4143585312598347,16.71963878000308,0.27393329884340895,51.175,1.175,3.275,53.275,19.438690476190477,6.0,1.332045634920635,0.0,99.14200162687679
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=2 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,50.0,0.0,1.0,100.0,4.525,0.24499999999999997,0.4143585312598347,16.71963878000308,0.27393329884340895,51.175,1.175,3.275,53.275,19.438690476190477,6.0,1.332045634920635,0.0,99.14200162687679
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,50.0,0.0,1.0,100.0,4.21,0.37240000000000073,0.4143931510189911,16.781650554966603,0.19259318649168203,51.285,1.285,2.695,52.695,22.029761904761905,6.0,1.2490376984126985,0.0,99.16055689208737
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=3 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,50.0,0.0,1.0,100.0,4.165,0.02939999999999937,0.40226731901541624,16.571323968472083,0.3569450206522543,50.975,0.975,2.825,52.825,18.18472222222222,8.0,1.1337936507936508,0.0,99.23885882644603
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=3 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,50.0,0.0,1.0,100.0,4.165,0.02939999999999937,0.40226731901541624,16.571323968472083,0.3569450206522543,50.975,0.975,2.825,52.825,18.18472222222222,8.0,1.1337936507936508,0.0,99.23885882644603
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,50.0,0.0,1.0,100.0,3.82,0.05880000000000005,0.3996064445905664,16.634991108166084,0.37241615156006636,51.135,1.135,1.81,51.81,21.86547619047619,8.0,0.963172619047619,0.0,99.26288395009253
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=1 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,49.99,0.019600000000003066,0.9998,99.0,4.965,0.20579999999999996,0.42324194312227426,16.562398004279085,0.1417621322266651,50.745,0.755,4.81,54.8,12.242261904761904,8.0,1.382029761904762,0.0,99.08169474290918
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=1 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,49.99,0.019600000000003066,0.9998,99.0,4.965,0.20579999999999996,0.42335436200424825,16.564098452987988,0.16808426964971843,50.745,0.755,4.81,54.8,12.149206349206349,8.0,1.382029761904762,0.0,99.08242936423235
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,49.99,0.019600000000003066,0.9998,99.0,4.965,0.20579999999999996,0.4232756628672268,16.558339599000377,0.13801779679408022,50.735,0.745,4.81,54.8,12.070833333333333,8.0,1.382029761904762,0.0,99.08372394554856
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,49.995,0.00979999999999805,0.9998999999999999,99.5,4.44,0.0980000000000005,0.40626896258425704,16.48517441839532,0.08760199979517137,50.6,0.605,3.71,53.705,11.008928571428571,12.0,1.0443948412698412,0.0,99.22082068023829
