policy,run_idx,run_seed,episode_idx,episode_seed,slot,g_th,alpha_th,irs_index,tx_this_slot,total_tx,power_avg,reward,oracle_irs_index,oracle_tx_this_slot,irs_matches_oracle,oracle_tx_gap,termination_reason
SAC,1,2026,20,640600314,9,0.00144994056224823,0.052471560239791874,7,0,45,0.0,0.0,15,3,0,3,running
SAC,1,2026,20,640600314,10,0.0011942455768585206,0.05087147951126099,3,3,48,0.5595613859406401,3.3338067531585693,15,3,0,0,time_limit
SAC,1,2026,21,355781144,1,0.001483936071395874,0.052244207262992864,8,38,38,0.3341098860180405,75.83294677734375,12,42,0,4,running
SAC,1,2026,21,355781144,2,0.0014622757434844971,0.052132186293601994,7,6,44,0.5059434152723604,11.747028350830078,9,9,0,3,running
SAC,1,2026,21,355781144,3,0.0016843894720077516,0.05427230000495911,8,0,44,0.0,0.0,2,4,0,4,running
SAC,1,2026,21,355781144,4,0.003993357181549072,0.05676895678043366,7,0,44,0.0,0.0,2,4,0,4,running
SAC,1,2026,21,355781144,5,0.005341015219688416,0.058718216419219975,7,0,44,0.0,0.0,2,3,0,3,running
SAC,1,2026,21,355781144,6,0.002645040512084961,0.055680274963378906,8,0,44,0.0,0.0,2,4,0,4,running
SAC,1,2026,21,355781144,7,0.0016454706192016602,0.05300082862377167,6,3,47,0.6685652937572851,5.665717124938965,2,5,0,2,running
SAC,1,2026,21,355781144,8,0.0514911482334137,0.0991746872663498,9,0,47,0.0,0.0,3,0,0,0,running
SAC,1,2026,21,355781144,9,0.0015263417959213259,0.05270952880382538,7,0,47,0.0,0.0,2,3,0,3,running
SAC,1,2026,21,355781144,10,0.0012968043088912964,0.051356217265129095,7,0,47,0.0,-4.879152297973633,2,3,0,3,time_limit
SAC,1,2026,22,2076535512,1,0.0014947185516357422,0.05230792462825776,8,42,42,0.33765224223743134,83.8311767578125,13,43,0,1,running
SAC,1,2026,22,2076535512,2,0.0015272805690765383,0.05244724452495575,7,3,45,0.5675287251652498,5.716235637664795,3,6,0,3,running
